pageurl,crawl_timestamp,job_title,category,company_name,city,post_date,job_description,job_type,job_board,geo,state,salary_offered
https://www.seek.com.au/job/36028497,4/20/2018,Sales and Retention Consultant - Insurance,Insurance & Superannuation,Options in Finance,Melbourne,4/19/2018,"Working towards individual sales targets and conversion and retention targets? You will contribute to growing the retail general Insurance area of this well-established multi-faceted business. You must be a confident sales person with excellent communication skills. You must have a proven ability to provide solutions based outcomes for clients and have experience in outbound and inbound sales. ?? This job entails a mixture of sales, customer service and retention so only applications with demonstrated experiecne in all three areas will be considered.? Insurance experience is not necessary but will be looked upon favourably and will help you to hit the ground running. This is an excellent company to work for and there are flexible working conditions, however if you could commit to a work schedule of 10am-6pm Monday to Friday this would also be looked upon favorably. We are looking to recruit this position ASAP so please apply if the above criteria matches your skillset",Full Time,seek,AU,CBD & Inner Suburbs,60000 including Super
https://www.seek.com.au/job/36029806,4/20/2018,Corporate Reception,Administration & Office Support,Page Personnel Office Support,Sydney,4/19/2018,"As an employee of our client, your opportunities are endless. With a great emphasis on career growth, you will have a competitive advantage in the corporate workforce. Client Details Our client is a well-established, global organisation based within the South West of Sydney. This organisation focuses in the manufacturing industry. Description Your key duties will include but not confined to; Be the first point of contact for calls and general email enquiries Organise meeting rooms and catering for events Create purchase orders and create invoices Document manage log books of visitors and contractors Ensure database is kept updated at all times Ad hoc reporting and administrative duties Profile Our client is looking for someone who has: Exceptional customer service and interpersonal skills Immaculate corporate presentation Experience dealing with a range of stakeholders (internal and external) Previous experience working in a commercial setting A positive work ethic who is a self-starter Job Offer As an employee of our client, your opportunities are endless. With a great emphasis on career growth, you will have a competitive advantage in the corporate workforce. To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Riviera Son on 02 8221 8155.",Contract/Temp,seek,AU,South West & M5 Corridor,Super
https://www.seek.com.au/job/36026570,4/20/2018,Business Solutions Consultant - Government,Sales,"Randstad - Sales, Marketing & Communications",Sydney,4/19/2018,"ation who loves to promote from within. Hit the ""Apply Now"" button or contact Vanessa Diolosa on vanessa.diolosa@randstad.com.au",Full Time,seek,AU,Southern Suburbs & Sutherland Shire,$70k - $80k p.a. + Super + Car Allowance + Commiss
https://www.seek.com.au/job/36028694,4/20/2018,Physiotherapist (Full Time or Part Time),Healthcare & Medical,Teneriffe Physiotherapy,Brisbane,4/19/2018,"Why join us? Regular mentoring with the practice principal who has over 25 years experience Negotiable salary plus performance bonuses? Strong focus on professional development with the flexibility to attend courses or conferences Majority private and highly motivated clients Full-time or part-time options Administration and marketing?support to assist our?physios Strong local community and referral links About the role? This is a full-time or part-time position, where you will manage a varied and challenging caseload.? We treat two patients per hour with a preference for 45 minute initial consultations Equipment: RTUS, exercise equipment, ViMove2?and iPad, WiiFit, digital handycam,?Dartfish biomechanical analysis software, EMG biofeedback, VHI execise prescription software, acupuncture needles and more Opportunity to teach Reformer Pilates if desired Requirements Full registration as a Physiotherapist?with AHPRA Prior experience as a?Physiotherapist - minimum 2?years About us Established for over 19 years, our clinic is located in one of Brisbane's best suburbs, Teneriffe.?We pride ourselves on providing high quality, personalised physiotherapy care using a combination of hands-on treatment and modern equipment. To express your interest please apply via SEEK now.?",Full Time,seek,AU,CBD & Inner Suburbs,Negotiable hourly rate + performance bonuses
https://www.seek.com.au/job/36026087,4/20/2018,Classroom Assistant,Education & Training,Ascot Vale Special School,Melbourne,4/19/2018,"About the business Ascot Vale Special School is a government day special school for students aged 5-18 with mild intellectual disabilities.? Located in the Travencore estate - Ascot Vale 3032 About the role Provide support for the students in all school programs. Produce basic curriculum support resources and assist students on an individual or group basis in specific learning areas.? Assist in therapy activities and life skills with students. Participate in the monitoring and evaluation of programs and student participation and achievement.? Assist in the preparation of equipment Attendant Care Assist with toileting, showering and changing of students as a priority. Provide basic physical and emotional care for students. Observe students and bring any concerns to the attention of teachers if necessary. To treat the students in a positive and respectful way. To develop and maintain positive working relationships with co-workers. To actively develop and maintain effective relationships with parents and staff. To follow Occupational Health and Safety guidelines. To maintain confidentiality. To carry out other duties as assigned by the principal or classroom teacher. ? Skills and experience MUST have current Working with Children Check and Police Check.? First Aid desirable. Must be proficient in ICT - ipad, computer, smart phone.? Please email expressions of interest and?your CV to ryan.erica.m@?show email by 18 May 2018.",Casual/Vacation,seek,AU,Western Suburbs,$30 - $34.99 per hour
https://www.seek.com.au/job/36025514,4/20/2018,Technical Support ? Level 2 ? Permanent Position,Information & Communication Technology,Integr8IT,Melbourne,4/19/2018,"en or have permanent residency. The applicant must hold a current and valid Australian or State Issued Driver's License and must have their own car. ? ? To be successful in this role, you will need to demonstrate a strong attention to detail and exceptional analytical and troubleshooting abilities as you diagnose software and hardware faults. You need to be able to confidently work autonomously. Finally you will need to have outstanding communication skills and thrive on building strong working relationships with clients in order to ensure their satisfaction. ?",Full Time,seek,AU,Bayside & South Eastern Suburbs,"$50,000 - $59,999 depending on experience"
https://www.seek.com.au/job/36026591,4/20/2018,Payroll Administrator,Accounting,ADP Employer Services,Melbourne,4/19/2018,"We have an exciealand. ADP offers the widest range of HR, payroll, tax and benefits administration solutions from a single source. Our solutions are reliable, secure and simple to operate. Why ADP: We value who you are; what you know and where you hope to go with your career. Working for ADP, we will provide you with a competitive salary package and?opportunities to develop and grow your career.? For further details about ADP, please visit our website:? www.adppayroll.com.au ? To learn more about a rewarding career with ADP, please contact Andjie Ivetic (Senior Recruitment Consultant) on 03 9566 5101 | 0437 190 324 or via email: andjie.ivetic@adp.com ? APPLY NOW",Full Time,seek,AU,Eastern Suburbs,Ongoing professional development.
https://www.seek.com.au/job/36026938,4/20/2018,Heavy Vehicle Operator,"Manufacturing, Transport & Logistics",Harvey's Towing Service,Brisbane,4/19/2018,"Heavy Fleet Operator? We are looking for Brisbane?s best Heavy Fleet Operator for an immediate start to join our busy fleet.? - Looking for enthusiastic, willing to learn, can do attitude, clean and tidy driver. - Minimum HC License required - Variety of work available? - Machinery, Heavy vehicle & Trade experience preferred - Ability to think outside of the box - Full Time Contractor Arrangement with alternate weekend - Interstate and Local Work compulsory Send your resume to admin@harveystowing.com.au",Full Time,seek,AU,Southern Suburbs & Logan,Commission only
https://www.seek.com.au/job/36026008,4/20/2018,Plumber,Trades & Services,Fix It Right Plumbing,Melbourne,4/19/2018,"Are you a?qualified plumber?looking for your next opportunity? Are you looking for a great place to work with great pay and a company that really looks after you? Do you want to further your plumbing and customer service skills to become a true professional? Everyday, Fix It right Plumbing is contacted by homeowners who have plumbing disasters. They are stressed out. You will learn how to deal with not only the plumbing issues the right way but also the customer as well to ensure you know how to deal with any situation. You will have the all the tools, equipment?and training to deal with issues like Blocked drains Dripping taps Burst water pipes Gas leaks Toilet disasters Why Work For Fix It Right Plumbing? Richie the owner at Fix It Right Plumbing has been practicing and perfecting the art of running plumbing service calls for 10 years, visiting thousands of homes and solving 10's of thousands of plumbing problems. ""Very few plumbing companies these days are really teaching their?guys how to be true professionals and giving them the tools they need to succeed"" The Role Your job will be to run service calls in our state of the art plumbing service truck run from our depot in Carrum Downs. You will learn how to deal with any plumbing issue you come across and you will have the support and training to ensure you are successful. You will be given access to our plumbing job management software and app to keep you informed and up to date and you'll also look professional in our company uniform too. Your ability to communicate with customers and investigate plumbing issues will be used everyday and each day will be different with new challenges keeping you motivated and energised The Person We Need In addition to your positive attitude and excellent customer service skills we are looking for people who: Are open and willing to learn the professional way to?run a service call Are genuine, honest and approachable - you'll be dealing with customers a lot Able to take the time to get to the bottom of the problem - to ensure the job stays fixed Be cooperative and be able to follow the training?provided while also providing feedback on how they can be improved Have good plumbing hand skills? Like working as part of team Are accountable for their work and behaviour Previous maintenance plumbing experience will be well regarded. You must be fully qualified with a valid Victorian drivers license and be legally allowed to work in Australia.The person that will be most successful in this role will be someone who is eager to learn and improve,?take full responsibility for the role and?work to the best of their ability in helping us save Melbourne from plumbing disasters.",Full Time,seek,AU,Bayside & South Eastern Suburbs,"$70,000 - $89,999 base plus commission"
https://www.seek.com.au/job/36025668,4/20/2018,Auto Electrician - Wacol,Trades & Services,Zoom Recruitment & Training,Brisbane,4/19/2018,"If you?re looking for work you've come oom Recruitment & Training offers temporary and permanent placement services in various industry sectors and can help you find you your next dream job! Your work experience and skills are very important to us so make sure you give yourself the best chance in gaining the right position for you. An updated resume with all the relevant previous work information is really important. Don?t forget to include all your relevant tickets and licenses that might give your application a head start. THE COMPANY One of our clients is seeking an AUTO ELECTRICIAN to start Start April 30th. We are looking for keen and reliable candidates with their own transport. You will be working for a world class company, who are committed to providing a safe and healthy workplace for all employees. As a leader in OHSE development, their national safety performance is well above industry standards THE ROLE Your role will be complete assembly of original equipment manufacturer machinery that complies with quality standards on a large range of machines including utility, construction and mining equipment. This will include base assembly, fitment of customer specified local options and performance testing of machinery whilst ensuring compliance with SWP installation guides and our customer?s requirements. REQUIREMENTS ? Trade Qualification with 1 year post trade experience. ? Prior experience and exposure to utility, construction and mining machinery. Must have experience on CAT or Komatsu machinery ? Sound understanding of quality requirements in relation to customer expectation. ? Ability to communicate and work with internal departments seamlessly on a daily basis whilst demonstrating an understanding of our customer?s requirements. ? A commitment to HSE by demonstrating safe behaviour at all times. ? Performing duties in a manner that adheres to health, safety and environmental standards and practice to protect personal health and that of others, and prevent harm to the environment. You must have: ? Driver?s Licence(s) as per state and Work Cover requirements. ? Forklift / Overhead gantry OHS license/Riggers or doggers ? First Aid certificate. ? Computer literacy. You will require the following PPE: ? Long pants ? Long sleeved high visibility shirt ? Steel cap boots ? Hard hat ? Safety glasses ? Gloves If you are keen, reliable and well presented - APPLY NOW",Contract/Temp,seek,AU,Southern Suburbs & Logan,"$40 - $45 p.h. + Above award rates, weekly pay"
https://www.seek.com.au/job/36027783,4/20/2018,Early Childhood Teacher,Education & Training,Hays Education,Sydney,4/19/2018,"Preschool room leader, management position, Exceeding centre, forward thinking philosophy. Your new company This beautiful centre is based in a prime location, 5 minutes from the North Sydney train station. An energetic ECT is required to join the vibrant team in this centre as the Room Leader of the Preschool children. The service encourages sustainability and natural resources throughout, displaying its calming aura to portray the sense of security it has for the children and families. The centre operates with a Steiner philosophy, allowing the children to explore and develop their interpersonal skills both in education and their outdoor activities. Your new role As the Room Leader, you will be responsible for nurturing and caring for the Preschool children in the centre. You should have a passion for building lasting relationships with both the children and families, encouraging the centres Steiner philosophy throughout. You will receive training and support from the staff when necessary. Your new role will allow autonomy and leadership with the programs and activities throughout the room. As a senior Teacher you will contribute to the managers meetings inputting your creative ideas and strategies. The role requires you to demonstrate leadership skills and a commitment to ensuring the centre operates in line with its exceeding rating. This will include a mentoring a training program that you should deliver to Diploma and Certificate III educators. What you'll need to succeed ECT qualification A passion for high quality Preschool education. Ambition to develop your career through training and professional development What you'll get in return Career progression Opportunity to mentor a larger team. Supportive, high quality centre- exceeding in all 7 areas. What you need to do now If you would like any more information about this position please call or email: Lauren Hilditch T- 02 8226 9747 E- Lauren.Hilditch@Hays.com.au If this job isn't quite right for you but you are looking for a new position, please contact me for a confidential discussion on your career.",Full Time,seek,AU,North Shore & Northern Beaches,Above award salary on offer
https://www.seek.com.au/job/36027860,4/20/2018,Reception & Office Administration,Administration & Office Support,Direct Property Network,Sydney,4/19/2018,"DPN is one of Australia's most innovative and progressive companies, specialising in financial services and property investment. Located in beachside designer offices at Cronulla, we have an?opportunity for a confident, exceptionally presented Receptionist to join our friendly and collaborative team. This role is full time?but could also be suited?to 2 people job sharing in a part time capacity (2-3 days a week each). In this position you will be the face and the voice of our growing organisation, interacting with a mix of different teams, clients and partners throughout the day. You will succeed in this role because your natural confidence enables you to provide an outstanding first impression. You enjoy working in a busy environment where your self-drive and approachable nature means you thrive on providing essential support to the team. Reporting to the Operations Leader across the hours of 8.30am-5pm, your role will consist of?a variety of tasks including: Reception Managing all incoming calls Welcoming visitors and clients to the office Meeting room set up including beverages and refreshments Administration Mail & courier management Director support including general administration and refreshments Printing, scanning, photocopying, binding & filing as required Support and set up of events including team lunches, presentations days Ordering and maintenance of office supplies and equipment IT support including installing software & signatures, managing Skype and conference calls Accounting Support Credit card reconciliation Payment of invoices and bills Processing various payment reports Housekeeping Maintaining cleanliness of kitchen and break out spaces Maintain overall cleanliness of the office Skills & Experience Required: Previous reception or administration experience preferred Strong communication skills ? both written and verbal Sound computer skills - previous experience with or willingness to learn Mac operating systems At DPN we are always on the look-out for talented team members that can grow their career with us. If this sounds like you, we look forward to receiving your application (including a cover letter and resume) via Seek. Queries can be forwarded to hr@dpn.com.au. Why work for DPN? DPN is an award-winning, professionally certified Property and Financial Services Enterprise.?Since 1996, DPN has helped thousands of Australians build wealth and financial independence to live the life they want.? With our roots in property investment and mortgage broking, we have now extended our offering to include our own brand of loans, home designs, property management and an insurance and estate planning referral service.?Our foundations are in the community and with a commitment to giving back, DPN provides valuable contributions to our partner charities, the A21 and Watoto.? DPN attributes their?team to their success. In turn, DPN boasts a flexible work culture, bonus opportunities, vison days, and the environment to develop and grow your career. ?See more at http://www.dpn.com.au/about-us/work-with-us Live the life you want.",Part Time,seek,AU,Southern Suburbs & Sutherland Shire,"$45,000 - $50,000 plus super + rewards program"
https://www.seek.com.au/job/36027464,4/20/2018,Senior Java Developer,Information & Communication Technology,Talent ? Winner ?Seek Large Recruitment Agency of the Year? 3 consecutive years!,Melbourne,4/19/2018,"Our client has several Senior Java Developer positions available on a contract basis with a high chance of extension. These roles are located close to the CBD with a global financial services organisation. Skills/Experience Required; Overall 5+ yrs experience Agile experience(preferably Scrum) Front end technologies: AngularJS, Bootstrap, Protractor, Jasmine-Karma testing Backend Technologies: Java-JEE, Spring 3.0, Spring MVC, SOAP Web Services, Restful Web Services, Hibernate, JPA, Open JPA TDD with JUnit BDD with Selenium(or Protractor)/ Cucumber Build Tools ?- Maven Application servers - IBM Websphere/ Weblogic/ JBoss CI/CD ?-Jenkins/Hudson/Bamboo DB ?- DB2 These roles will be filled over the coming days so please don't hesitate to apply. Should you need any further information you can contact Ronald on 9236 7737.",Contract/Temp,seek,AU,CBD & Inner Suburbs,Competitive
https://www.seek.com.au/job/36025697,4/20/2018,Qualified Cabinet Maker,Trades & Services,Tischler Pty Ltd,Melbourne,4/19/2018,About the business and the role Manufacturer of Architecturally designed joinery. We work with lots of different timber veneers. We custom make a lot of our work. We work very closely with our clients and designers. Job tasks and responsibilities Work on site & in the factory. Work with different materials. Site measuring. Happy to work on commercial building sites. Great attention to detail & time management. Installation of cabinets. Installation of bench tops. Skills and experience At least 3 years experience. Use a panel saw & edge bander. Can interpret drawings. Current driver's license. ? Job benefits and perks Full time position. All clothing supplied. Exciting projects. Growing small business with projects booked into 2017.,Full Time,seek,AU,Bayside & South Eastern Suburbs,$40 - $44.99 per hour depending on experience
